District,Leg_ID,Party,Start,End,Note,KW
1,"Arango Vinent, Roberto",PNP,2009-01-02,2011-08-28,Resigned after personal scandal.,Arango
0,"Arce Ferrer, Luz Z.",PNP,2009-01-02,2013-01-01,,Arce
5,"Berdiel Rivera, Luis A.",PNP,2009-01-02,2013-01-01,,Berdiel
0,"Bhatia Gautier, Eduardo",PPD,2009-01-02,2013-01-01,,Bhatia
0,"Burgos Andújar, Norma E.",PNP,2009-01-02,2013-01-01,,Andújar
0,"Dalmau Santiago, José L.",PPD,2009-01-02,2013-01-01,,Dalmau
7,"Díaz Hernández, José R.",PNP,2009-01-02,2013-01-01,,DíazHernández
0,"Fas Alzamora, Antonio",PPD,2009-01-02,2013-01-01,,Fas
1,"Fernández Rodríguez, Liza",PNP,2012-05-10,2013-01-01,"Fills in for Arango Vinent, Robert",Liza
0,"García Padilla, Alejandro J.",PPD,2009-01-02,2013-01-01,,Alejandro
0,"González Calderón, Sila M.",PPD,2009-01-02,2013-01-01,,Calderón
3,"González Velázquez, José E.",PNP,2009-01-02,2013-01-01,,GonzálezVel
0,"Hernández Mayoral, Juan E.",PPD,2009-01-02,2013-01-01,,Mayoral
8,"Iglesias Suárez, Roger J.",PNP,2011-06-25,2013-01-01,"Fills in for Martínez Maldonado, Héctor J.",Roger
8,"Martínez Maldonado, Héctor J.",PNP,2009-01-02,2011-03-12,Resigned after being found guilty for corruption.,Maldonado
3,"Martínez Santiago, Ángel",PNP,2009-01-02,2013-01-01,,MartínezSantiago
4,"Muñiz Cortés, Luis D.",PNP,2009-01-02,2013-01-01,,Muñiz
0,"Nolasco Santiago, Margarita",PNP,2009-01-02,2013-01-01,,Nolasco
0,"Ortíz Ortíz, Eder E.",PPD,2009-01-02,2011-12-31,Resigned to become PPD Electoral Commissioner.,Eder
2,"Padilla Alvelo, Migdalia",PNP,2009-01-02,2013-01-01,,Alvelo
0,"Peña Ramírez, Itzamar",PNP,2009-01-02,2013-01-01,,Peña
1,"Raschke Martínez, Kimmey",PNP,2009-01-02,2013-01-01,,Raschke
2,"Ríos Santiago, Carmelo J.",PNP,2009-01-02,2013-01-01,,Ríos
0,"Rivera Schatz, Thomas",PNP,2009-01-02,2013-01-01,,Schatz
0,"Rodríguez Otero, Ángel M.",PPD,2012-08-24,2013-01-01,"Fills in for Ortíz Ortíz, Eder E.",RodríguezOtero
6,"Rodríguez Martínez, Miguel A.",PNP,2012-05-10,2013-01-01,"Fills in for Soto Díaz, Antonio",RodríguezMartínez
0,"Romero Donnelly, Melinda K.",PNP,2009-01-02,2013-01-01,,Romero
7,"Santiago González, Luz M.",PNP,2009-01-02,2013-01-01,,SantiagoGonzález
5,"Seilhamer Rodríguez, Lawrence N.",PNP,2009-01-02,2013-01-01,,Seilhamer
6,"Soto Díaz, Antonio",PNP,2009-01-02,2011-09-14,Resigned due to investigation on his campaign finances.,SotoDíaz
8,"Soto Villanueva, Lornna J.",PNP,2009-01-02,2013-01-01,,Villanueva
0,"Suárez Cáceres, Jorge",PPD,2009-01-02,2013-01-01,,Jorge
0,"Tirado Rivera, Cirilo",PPD,2009-01-02,2013-01-01,,Cirilo
6,"Torres Torres, Carlos J.",PNP,2009-01-02,2013-01-01,,Torres
4,"Vázquez Nieves, Evelyn",PNP,2009-01-02,2013-01-01,,Evelyn
